predictor	predictor_type	name	fold	diff_empty	diff_medium_surprisal	diff_full_surprisal
103	surprisal + prev_surprisal + prev2_surprisal + prev2_surprisal + prev3_surprisal	5	prev2_surprisal	3	0.0372794384175847	0.0210370353461675	0.000254947400289751
104	surprisal + prev_surprisal + prev2_surprisal + prev2_surprisal + prev3_surprisal	5	prev2_surprisal	4	0.0481558275775242	0.0238302273384745	-0.00033225404232784
105	surprisal + prev_surprisal + prev2_surprisal + prev2_surprisal + prev3_surprisal	5	prev2_surprisal	5	0.0391691795502007	0.0227767196937876	-0.000210090475771807
106	surprisal + prev_surprisal + prev2_surprisal + prev2_surprisal + prev3_surprisal	5	prev2_surprisal	6	0.0427111367828221	0.0239618138865216	0.00101978725166418
107	surprisal + prev_surprisal + prev2_surprisal + prev2_surprisal + prev3_surprisal	5	prev2_surprisal	7	0.03516807309133	0.0187929549002952	-4.26506414434868e-05
108	surprisal + prev_surprisal + prev2_surprisal + prev2_surprisal + prev3_surprisal	5	prev2_surprisal	8	0.0305269893905153	0.00954729086199091	0.000417089990599528
109	surprisal + prev_surprisal + prev2_surprisal + prev2_surprisal + prev3_surprisal	5	prev2_surprisal	9	0.0343185049429069	0.0186019135624482	0.00153465309527068
110	surprisal + prev_surprisal + prev2_surprisal + prev2_surprisal + prev3_surprisal	5	prev2_surprisal	10	0.0369660500792284	0.00847368227265921	0.00099129538988052
111	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	prev2_surprisal	1	0.0363762202319489	0.0197313003583703	0.000252998422887174
112	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	prev2_surprisal	2	0.045796200636504	0.0197178694083169	0.00112997519538638
113	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	prev2_surprisal	3	0.0372794384175847	0.0210370353461675	0.000254947400289751
114	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	prev2_surprisal	4	0.0481558275775242	0.0238302273384745	-0.00033225404232784
115	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	prev2_surprisal	5	0.0391691795502007	0.0227767196937876	-0.000210090475771807
116	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	prev2_surprisal	6	0.0427111367828221	0.0239618138865216	0.00101978725166418
117	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	prev2_surprisal	7	0.03516807309133	0.0187929549002952	-4.26506414434868e-05
118	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	prev2_surprisal	8	0.0305269893905153	0.00954729086199091	0.000417089990599528
119	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	prev2_surprisal	9	0.0343185049429069	0.0186019135624482	0.00153465309527068
