	word	piantadosi	piantadosi_buggy	cch	cch_buggy	zipf	length	only_lowercase_letters
88866	lifeboats	1.5312391016632318	1.4278195	1.536830362150286	1.4380109314253937	0.6931471805599453	9	True
88869	lifeforms	4.276298743672669	4.18042335	5.1580758192136935	5.15183779551309	0.6931471805599453	9	True
88871	lifelong	5.631455836129714	5.625815345454545	7.676208639480448	7.668910648436511	2.3978952727983707	8	True
88872	lifespan	3.097167491912842	1.7138108	3.097167491912842	1.7138108	0.0	8	True
88873	lifespans	6.411857745115412	6.40159695	8.01198815664791	8.012029438558594	0.6931471805599453	9	True
88875	lifestyle	5.134755039587617	4.788351575	6.206184512225317	6.041216295407095	2.0794415416798357	9	True
88878	lifetime	3.321239755372517	3.2031663656	6.416163931084597	6.52272933064632	2.70805020110221	8	True
88885	lift	4.50008719782636	4.486261249911111	6.78744073209718	6.857373218521624	2.1972245773362196	4	True
88889	lifted	5.605951667214362	5.571710737777778	7.738811302189853	7.827414191493097	2.1972245773362196	6	True
88891	lifting	8.274689629302884	8.737008466666667	8.652300938996833	9.222038353948914	1.0986122886681098	7	True
88893	lifts	6.831821146265914	6.8991178	7.142222237384032	7.263742498634495	1.0986122886681098	5	True
88894	ligament	0.0481162806972861	0.014572967	0.0481162806972861	0.014572967	0.0	8	True
88895	ligand	3.56676790304482	3.13435565	5.079632156425299	4.822072208873647	1.3862943611198906	6	True
88896	ligands	6.607658046297729	5.81666	6.65154925955224	5.827134147576271	0.6931471805599453	7	True
88897	light	3.9285909807839294	3.7933496886915887	6.0513641050352875	5.900308982759006	4.672828834461906	5	True
88908	lighted	4.538852214813232	4.464599	4.538852214813232	4.464599	0.0	7	True
88909	lighten	9.62437034479808	9.623368	10.055553259553552	10.054790380559593	0.6931471805599453	7	True
88910	lighter	4.420604479149915	4.202959430833333	6.559362945985337	6.644109488866943	2.4849066497880004	7	True
88914	lighthouse	3.0119698060055575	2.7608817	3.9913754680233295	3.854230226473527	1.0986122886681098	10	True
88917	lighting	5.293634144023103	5.1571986327272725	6.937088574810186	6.953455591610066	2.3978952727983707	8	True
88920	lightly	2.20269038900733	2.1753888	2.20269038900733	2.1753888	0.0	7	True
88923	lightning	6.853687533619814	6.71151888	8.356123089263438	8.254621216088315	1.6094379124341003	9	True
88926	lights	3.0887353338766843	2.8901158750000002	3.255773615553222	3.026989133509343	1.3862943611198906	6	True
88929	lightweight	6.6309524099342525	6.57408985	7.308425878706936	7.254817759057643	1.3862943611198906	11	True
88931	lignified	1.7050199434161186	1.685756	1.7050199434161186	1.685756	0.0	9	True
88934	lijstduwer	13.772429855074732	13.717435	13.772429855074733	13.717435000000002	0.0	10	True
88935	likable	1.0490885757171782	0.8872938	1.0490885757171782	0.8872938	0.0	7	True
88936	like	2.7805529245869463	2.9308528917044674	4.482388779526889	4.61667619093352	5.673323267171493	4	True
88941	liked	4.451658348187266	4.4769481375	5.969936389052366	5.980833018928243	2.0794415416798357	5	True
88942	likelihood	5.51568165867606	5.513053314285714	6.724104661346597	6.723979128351676	1.9459101490553132	10	True
88944	likely	3.4001865804344864	3.406706971183333	5.417831286254454	5.43304870672821	4.0943445622221	6	True
88947	likened	6.528088015760295	6.5246344800000005	7.049009980714074	7.047991268663747	1.6094379124341003	7	True
88948	likeness	2.459246416889073	2.4552869	3.258879630826812	3.257867192583164	0.6931471805599453	8	True
88949	likening	5.831945488731435	5.832225	5.831945488731436	5.832225	0.0	8	True
88950	likes	4.792297325504478	4.816487384	6.764950405556704	6.765950627262897	2.70805020110221	5	True
88951	likewise	8.00047132112862	8.074913566666668	8.141547297239343	8.223549737077594	1.0986122886681098	8	True
88955	liking	6.403186629642732	6.398203233333334	7.104590830813147	7.099694549853309	1.0986122886681098	6	True
88956	likovnih	1.4594641100266017	1.4625206	1.4594641100266017	1.4625206000000002	0.0	8	True
88958	lilac	6.52840439369902	5.752539	6.528404393699021	5.7525390000000005	0.0	5	True
88960	lilting	13.923701949417593	13.834284	13.923701949417593	13.834284000000002	0.0	7	True
88961	lily	3.278272919356823	2.96150555	3.8446907209155183	3.755756876080771	0.6931471805599453	4	True
88963	limb	3.112388350535184	3.086583395	5.738058496815572	5.701577173071009	0.6931471805599453	4	True
88965	limber	5.718505181372166	5.774993	5.718505181372166	5.774993	0.0	6	True
88968	limbo	7.492126882076263	7.197956	7.4921268820762625	7.197956	0.0	5	True
88969	limbs	3.91346372757107	4.3805193	7.562179405338483	6.871240571906573	0.6931471805599453	5	True
88972	lime	0.3519844673573971	0.31884822	0.3519844673573971	0.31884822	0.0	4	True
88974	limestone	3.527650968529857	3.2502034204615384	5.182148379434437	5.251422754842233	2.5649493574615367	9	True
88978	limestones	4.33606830239296	4.093853	4.33606830239296	4.093853	0.0	10	True
88980	limit	4.269647814887944	4.261468086178947	6.142771476486601	6.11817927114033	2.9444389791664403	5	True
88983	limitation	5.174254742264748	5.057984632	7.171957266404924	7.335300204915577	1.6094379124341003	10	True
88985	limitations	4.456508422154002	4.459944575	5.819121097731869	5.839297496198231	2.0794415416798357	11	True
88986	limited	4.113638364671608	4.037877646	5.76035998700017	5.782177560453042	4.219507705176107	7	True
88991	limiting	6.110106707469511	6.1119134	6.864469993428338	6.864604650091194	1.9459101490553132	8	True
88993	limits	4.279211465856948	4.283099555714285	5.8281124975697995	5.833830611015682	3.044522437723423	6	True
88997	limo	9.146798822795972	9.144883	9.146798822795972	9.144883	0.0	4	True
88998	limped	8.179617354791844	8.181184	8.179617354791844	8.181184	0.0	6	True
89000	limps	4.941720771836117	4.973595	4.941720771836117	4.973595	0.0	5	True
89001	line	2.7359621691820197	2.5799174476772486	5.410635313671307	5.361975826051115	5.241747015059643	4	True
89013	lineage	1.2335906527005136	0.844844051	1.6937973024725677	1.5969886652935985	1.0986122886681098	7	True
89017	lineages	3.742874963209033	3.4034942999999998	5.117719579737616	4.42742796880612	1.6094379124341003	8	True
89021	linear	5.4359363292876095	5.446561699999999	7.269057240871841	7.248021423354725	1.9459101490553132	6	True
89023	linearly	4.038154363632202	3.6779284	4.038154363632202	3.6779284	0.0	8	True
89025	linebacker	2.015108436346054	1.8148944	2.015108436346054	1.8148944	0.0	10	True
89027	lined	5.429863088816221	5.560711314285713	5.985014336076711	6.131635168880314	1.9459101490553132	5	True
89028	lineman	4.890624430961907	4.901041	4.890624430961907	4.901041	0.0	7	True
89029	linen	4.324991532601416	4.311577	4.324991532601416	4.311577	0.0	5	True
89030	liner	2.5524810091592367	2.484629385333333	7.113143947604709	7.29600257202507	1.0986122886681098	5	True
89033	liners	6.765921990387142	6.7235413	6.765921990387143	6.7235413	0.0	6	True
89034	lines	2.533156968487597	2.3370033861267605	4.477038405055375	4.632978599701436	4.2626798770413155	5	True
89038	lineup	4.18028969090018	4.164747785555556	6.353917339355564	6.369212836486637	2.1972245773362196	6	True
89042	ling	9.663566003243128	8.819148666666665	10.142275874551103	10.29390101523836	1.0986122886681098	4	True
89043	lingua	4.048346108562934	4.041356400000001	4.908541613866611	4.89774656253314	1.0986122886681098	6	True
89044	linguae	2.034360073506832	2.0579815	2.034360073506832	2.0579815	0.0	7	True
89046	linguas	0.7960588783025742	0.61630964	0.7960588783025742	0.61630964	0.0	7	True
89047	linguist	2.425933280028403	2.3604944	2.425933280028403	2.3604944	0.0	8	True
89048	linguistic	2.561543221333219	2.55308789	3.822726840732622	3.8065060688958017	1.0986122886681098	10	True
89049	linguistically	12.728020450100304	12.713013	12.728020450100304	12.713013	0.0	14	True
89050	linguistics	2.839173173066229	2.80161067	5.252921152503055	5.258403865416257	0.6931471805599453	11	True
89052	lining	0.4172547711059451	0.42855808	0.4172547711059451	0.42855808	0.0	6	True
89053	link	5.4121134015236745	5.415504984666667	7.437901084677917	7.5080410169004645	3.4011973816621555	4	True
89057	linkage	8.568456180393696	8.69608525	8.569112818407245	8.703670151747895	0.6931471805599453	7	True
89059	linkages	4.5355899088899605	4.51746465	4.592364909815381	4.578701182089742	0.6931471805599453	8	True
89060	linked	5.043508578678217	5.07056204617647	6.733276843638762	6.768962518663755	3.5263605246161616	6	True
89062	linking	5.483366671134718	5.513753525	6.19630092693649	6.206624526927206	1.3862943611198906	7	True
89063	links	4.756496484313175	4.73810415625	5.491593518347533	5.530650110207353	2.772588722239781	5	True
89066	lintels	2.0706455786712468	1.0271066	2.0706455786712468	1.0271066	0.0	7	True
89069	lion	5.0236780773848295	4.5569104	5.051738824029105	4.668410498378538	1.3862943611198906	4	True
89071	lioness	5.236499413847923	5.2116976	5.236499413847923	5.2116976	0.0	7	True
89072	lionesses	4.246442264566819	3.9205525666666667	5.72972964977146	5.86881854027912	1.0986122886681098	9	True
89073	lions	2.8544641798362136	2.6615999749999997	3.1414902171258703	3.1576163900766807	1.3862943611198906	5	True
89074	lip	0.25267017850031454	0.128729058	0.34781717527935996	0.16576640072992718	1.0986122886681098	3	True
89075	lipid	5.890795772507166	5.74538002	8.278837134646702	8.082177017199253	1.0986122886681098	5	True
89076	lipopolysaccharide	2.5800526961684227	1.9865739	2.5800526961684227	1.9865739	0.0	18	True
89077	lipoproteins	3.540120393037796	3.1105454	3.5401203930377956	3.1105454	0.0	12	True
89078	lipoteichoic	4.468507256242447	4.4719467	4.468507256242447	4.4719467	0.0	12	True
89079	lips	2.2290881220251326	1.9917898	2.3090295286679785	2.2437566435045158	0.6931471805599453	4	True
89081	liquefaction	5.057297030463815	5.04606	5.057297030463815	5.04606	0.0	12	True
89082	liquid	2.703210698255465	2.6484731531363637	4.8890760942522045	4.831593267604715	3.091042453358316	6	True
89085	liquidate	10.819490737980232	10.799588	10.819490737980232	10.799588	0.0	9	True
89086	liquidated	6.062030855027842	5.8735443	7.465912507000176	7.518470290398556	0.6931471805599453	10	True
89087	liquidating	5.362962900195271	5.349524	5.362962900195271	5.349524	0.0	11	True
89088	liquidation	4.904831814870704	4.899613	5.105812022149147	5.098535005293274	0.6931471805599453	11	True
89090	liquidity	9.045627797022462	9.03577	9.045627797022462	9.03577	0.0	9	True
89091	liquids	5.39582156141599	5.209038433333333	6.822817037430743	6.586033851514848	1.0986122886681098	7	True
89094	liquor	6.739737833413528	6.345856825	8.324375663331695	7.6922053921413935	1.3862943611198906	6	True
89097	liree	14.117189060896637	14.062379	14.117189060896635	14.062379000000002	0.0	5	True
89098	lirici	7.264100879430771	7.249988	7.276900810842921	7.265519964157871	0.6931471805599453	6	True
89099	list	2.47749633859283	2.348950786962626	5.072941516078235	5.161968015159346	4.59511985013459	4	True
89102	listed	3.5297669773907603	3.5458151032784806	5.241897964902431	5.271383323542325	4.3694478524670215	6	True
89104	listen	5.31539103634552	5.198267262222222	9.132119248180567	8.985670942180677	2.1972245773362196	6	True
89106	listened	2.760503352881642	2.77259895	3.54026601145262	3.557639708392194	0.6931471805599453	8	True
89107	listener	6.284112173132598	6.1220579	8.484749137909954	8.524989052284663	1.3862943611198906	8	True
89109	listeners	5.320660980728765	5.1464567	5.5247941572947425	5.401556557971497	1.0986122886681098	9	True
89111	listening	4.3257921989570605	4.291374575400001	5.750381625148215	5.69542516908771	2.302585092994046	9	True
89112	listing	3.4289144370898916	3.1782540958333336	5.127010191681274	5.397757602142078	1.791759469228055	7	True
89113	listings	5.681937217712402	4.559697	5.681937217712402	4.559697	0.0	8	True
89115	lists	5.198392159117457	5.165233569230769	6.416955226028735	6.469110665045663	2.5649493574615367	5	True
89119	listserv	6.983322642743588	4.046622	6.983322642743588	4.046622	0.0	8	True
89120	lit	3.514757082168944	3.5145735399999998	4.655838266150701	4.651796119992383	1.6094379124341003	3	True
89125	literacy	1.5231461956735681	1.4485234969633332	7.959753242459098	7.573241385596621	2.70805020110221	8	True
89127	literal	6.5544323772192	6.48614	6.5544323772192	6.48614	0.0	7	True
89128	literally	1.8681742982544864	1.7924119450769231	3.412902264704582	3.4080901208222363	2.5649493574615367	9	True
89130	literary	4.228318851654306	4.2336526745762715	5.645296313656223	5.638429459213293	4.07753744390572	8	True
89133	literate	9.431052634492517	9.3510195	11.732116790109417	11.663645021490598	0.6931471805599453	8	True
89134	literates	0.01645897882735875	0.0170073575	0.016510489656435926	0.017090251246694763	0.6931471805599453	9	True
89135	literature	3.3268898480812146	2.8792203477419354	4.602173027111966	4.162154906938212	3.4339872044851463	10	True
89140	liters	2.8248348043998703	2.851297	2.8248348043998703	2.851297	0.0	6	True
89142	lithic	9.947371932445094	10.071352	9.947371932445094	10.071352	0.0	6	True
89145	lithographs	5.819765537977219	5.397487	5.819765537977219	5.397487	0.0	11	True
89148	litigated	1.207980503942963	1.2064606	1.207980503942963	1.2064606	0.0	9	True
89149	litigation	5.126522704958916	4.788548675	8.629340132089922	8.509392784564627	0.6931471805599453	10	True
89152	litres	1.7318855937570334	2.057433572	2.554097297355352	2.976510329521328	1.6094379124341003	6	True
89153	litter	0.9840732910408405	0.9615617867524999	5.054152569620002	5.23932011869869	3.6888794541139363	6	True
89157	littered	11.083164247887908	11.082952	11.45396679808971	11.455569209887402	0.6931471805599453	8	True
89158	little	4.051305529332778	4.0174779755016	5.723589781673626	5.687473226281542	4.8283137373023015	6	True
89161	liturgical	7.041017138864845	7.039974	7.041017138864846	7.039974000000001	0.0	10	True
89163	liturgy	4.498656217823736	4.05773865	4.75557151963431	4.254672702489691	1.3862943611198906	7	True
89165	live	3.210753450245624	3.1857029503384613	4.96668566711386	5.006804990389748	5.272999558563747	4	True
89172	lived	3.4373243358215113	3.4810611764718185	4.698894484984272	4.713448221581921	4.700480365792417	5	True
89176	liveing	9.51205332018435	9.10205	9.51205332018435	9.10205	0.0	7	True
89177	liveliest	11.522027131344656	11.50745	11.522027131344654	11.507450000000002	0.0	9	True
89178	livelihood	6.480440199375153	6.2081146	6.480440199375152	6.2081146	0.0	10	True
89180	livelihoods	7.262801392935216	7.2598172000000005	7.2833312949527755	7.275621060080642	0.6931471805599453	11	True
