predictor	predictor_type	name	fold	diff_empty	diff_medium_surprisal	diff_full_surprisal
64	surprisal + surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	5	surprisal	4	0.055448511282969	0.0297048833086526	-0.000278784977842506
65	surprisal + surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	5	surprisal	5	0.0445301626950503	0.0236577764928247	-0.000136298064571605
66	surprisal + surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	5	surprisal	6	0.0444219376043105	0.0269731017182773	0.00148258045623173
67	surprisal + surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	5	surprisal	7	0.0372713443255055	0.0210836912193546	-0.000128756048730416
68	surprisal + surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	5	surprisal	8	0.0344246292756587	0.0131431391475481	0.000640314347620574
69	surprisal + surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	5	surprisal	9	0.0374531872381869	0.022127858246872	0.00140512071569976
70	surprisal + surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	5	surprisal	10	0.0387363720427913	0.00951659093763624	0.00100487727167664
71	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	surprisal	1	0.0468851504032743	0.0292411019943399	-0.000422820149672098
72	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	surprisal	2	0.0473203946233678	0.0229690533467348	0.000805184426763361
73	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	surprisal	3	0.0402832778302589	0.0205138374016025	0.000619761669041985
74	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	surprisal	4	0.055448511282969	0.0297048833086526	-0.000278784977842506
75	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	surprisal	5	0.0445301626950503	0.0236577764928247	-0.000136298064571605
76	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	surprisal	6	0.0444219376043105	0.0269731017182773	0.00148258045623173
77	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	surprisal	7	0.0372713443255055	0.0210836912193546	-0.000128756048730416
78	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	surprisal	8	0.0344246292756587	0.0131431391475481	0.000640314347620574
79	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	surprisal	9	0.0374531872381869	0.022127858246872	0.00140512071569976
80	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	surprisal	10	0.0387363720427913	0.00951659093763624	0.00100487727167664
81	surprisal + prev_surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	5	prev_surprisal	1	0.0468851504032743	0.0292411019943399	-0.000422820149672098
82	surprisal + prev_surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	5	prev_surprisal	2	0.0473203946233678	0.0229690533467348	0.000805184426763361
83	surprisal + prev_surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	5	prev_surprisal	3	0.0402832778302589	0.0205138374016025	0.000619761669041985
84	surprisal + prev_surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	5	prev_surprisal	4	0.055448511282969	0.0297048833086526	-0.000278784977842506
85	surprisal + prev_surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	5	prev_surprisal	5	0.0445301626950503	0.0236577764928247	-0.000136298064571605
86	surprisal + prev_surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	5	prev_surprisal	6	0.0444219376043105	0.0269731017182773	0.00148258045623173
87	surprisal + prev_surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	5	prev_surprisal	7	0.0372713443255055	0.0210836912193546	-0.000128756048730416
88	surprisal + prev_surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	5	prev_surprisal	8	0.0344246292756587	0.0131431391475481	0.000640314347620574
89	surprisal + prev_surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	5	prev_surprisal	9	0.0374531872381869	0.022127858246872	0.00140512071569976
90	surprisal + prev_surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	5	prev_surprisal	10	0.0387363720427913	0.00951659093763624	0.00100487727167664
91	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	prev_surprisal	1	0.0468851504032743	0.0292411019943399	-0.000422820149672098
92	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	prev_surprisal	2	0.0473203946233678	0.0229690533467348	0.000805184426763361
93	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	prev_surprisal	3	0.0402832778302589	0.0205138374016025	0.000619761669041985
94	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	prev_surprisal	4	0.055448511282969	0.0297048833086526	-0.000278784977842506
95	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	prev_surprisal	5	0.0445301626950503	0.0236577764928247	-0.000136298064571605
96	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	prev_surprisal	6	0.0444219376043105	0.0269731017182773	0.00148258045623173
97	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	prev_surprisal	7	0.0372713443255055	0.0210836912193546	-0.000128756048730416
98	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	prev_surprisal	8	0.0344246292756587	0.0131431391475481	0.000640314347620574
99	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	prev_surprisal	9	0.0374531872381869	0.022127858246872	0.00140512071569976
100	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	prev_surprisal	10	0.0387363720427913	0.00951659093763624	0.00100487727167664
101	surprisal + prev_surprisal + prev2_surprisal + prev2_surprisal + prev3_surprisal	5	prev2_surprisal	1	0.0468851504032743	0.0292411019943399	-0.000422820149672098
102	surprisal + prev_surprisal + prev2_surprisal + prev2_surprisal + prev3_surprisal	5	prev2_surprisal	2	0.0473203946233678	0.0229690533467348	0.000805184426763361
103	surprisal + prev_surprisal + prev2_surprisal + prev2_surprisal + prev3_surprisal	5	prev2_surprisal	3	0.0402832778302589	0.0205138374016025	0.000619761669041985
104	surprisal + prev_surprisal + prev2_surprisal + prev2_surprisal + prev3_surprisal	5	prev2_surprisal	4	0.055448511282969	0.0297048833086526	-0.000278784977842506
