predictor	predictor_type	name	fold	diff_empty	diff_medium_surprisal	diff_full_surprisal
97	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	prev_surprisal	7	0.0241541342322513	0.0124375440427515	-0.000399999804605145
98	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	prev_surprisal	8	0.0294426563098895	0.0118785246316122	0.000176999750514995
99	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	prev_surprisal	9	0.0231432652462402	0.0119619363724013	0.00124960038022515
100	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	prev_surprisal	10	0.0225075992125774	0.00580569050177449	0.00123177738045754
101	surprisal + prev_surprisal + prev2_surprisal + prev2_surprisal + prev3_surprisal	5	prev2_surprisal	1	0.0356400646978985	0.0168252109214668	0.00015682404820172
102	surprisal + prev_surprisal + prev2_surprisal + prev2_surprisal + prev3_surprisal	5	prev2_surprisal	2	0.0445825237124104	0.0168408557042552	0.000761928538231871
103	surprisal + prev_surprisal + prev2_surprisal + prev2_surprisal + prev3_surprisal	5	prev2_surprisal	3	0.0353306452761535	0.0203872363773066	0.000549009713663118
104	surprisal + prev_surprisal + prev2_surprisal + prev2_surprisal + prev3_surprisal	5	prev2_surprisal	4	0.0410422683443477	0.0206860031888434	-0.000417467906407509
105	surprisal + prev_surprisal + prev2_surprisal + prev2_surprisal + prev3_surprisal	5	prev2_surprisal	5	0.0342969808089979	0.0221747978587254	0.000131965283097557
106	surprisal + prev_surprisal + prev2_surprisal + prev2_surprisal + prev3_surprisal	5	prev2_surprisal	6	0.0342220811139926	0.0175197751960274	0.000921850433733162
107	surprisal + prev_surprisal + prev2_surprisal + prev2_surprisal + prev3_surprisal	5	prev2_surprisal	7	0.0241541342322513	0.0124375440427515	-0.000399999804605145
108	surprisal + prev_surprisal + prev2_surprisal + prev2_surprisal + prev3_surprisal	5	prev2_surprisal	8	0.0294426563098895	0.0118785246316122	0.000176999750514995
109	surprisal + prev_surprisal + prev2_surprisal + prev2_surprisal + prev3_surprisal	5	prev2_surprisal	9	0.0231432652462402	0.0119619363724013	0.00124960038022515
110	surprisal + prev_surprisal + prev2_surprisal + prev2_surprisal + prev3_surprisal	5	prev2_surprisal	10	0.0225075992125774	0.00580569050177449	0.00123177738045754
111	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	prev2_surprisal	1	0.0356400646978985	0.0168252109214668	0.00015682404820172
112	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	prev2_surprisal	2	0.0445825237124104	0.0168408557042552	0.000761928538231871
113	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	prev2_surprisal	3	0.0353306452761535	0.0203872363773066	0.000549009713663118
114	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	prev2_surprisal	4	0.0410422683443477	0.0206860031888434	-0.000417467906407509
115	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	prev2_surprisal	5	0.0342969808089979	0.0221747978587254	0.000131965283097557
116	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	prev2_surprisal	6	0.0342220811139926	0.0175197751960274	0.000921850433733162
117	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	prev2_surprisal	7	0.0241541342322513	0.0124375440427515	-0.000399999804605145
118	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	prev2_surprisal	8	0.0294426563098895	0.0118785246316122	0.000176999750514995
119	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	prev2_surprisal	9	0.0231432652462402	0.0119619363724013	0.00124960038022515
120	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	prev2_surprisal	10	0.0225075992125774	0.00580569050177449	0.00123177738045754
121	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal + prev3_surprisal	5	prev3_surprisal	1	0.0356400646978985	0.0168252109214668	0.00015682404820172
122	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal + prev3_surprisal	5	prev3_surprisal	2	0.0445825237124104	0.0168408557042552	0.000761928538231871
123	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal + prev3_surprisal	5	prev3_surprisal	3	0.0353306452761535	0.0203872363773066	0.000549009713663118
124	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal + prev3_surprisal	5	prev3_surprisal	4	0.0410422683443477	0.0206860031888434	-0.000417467906407509
125	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal + prev3_surprisal	5	prev3_surprisal	5	0.0342969808089979	0.0221747978587254	0.000131965283097557
126	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal + prev3_surprisal	5	prev3_surprisal	6	0.0342220811139926	0.0175197751960274	0.000921850433733162
127	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal + prev3_surprisal	5	prev3_surprisal	7	0.0241541342322513	0.0124375440427515	-0.000399999804605145
128	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal + prev3_surprisal	5	prev3_surprisal	8	0.0294426563098895	0.0118785246316122	0.000176999750514995
129	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal + prev3_surprisal	5	prev3_surprisal	9	0.0231432652462402	0.0119619363724013	0.00124960038022515
130	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal + prev3_surprisal	5	prev3_surprisal	10	0.0225075992125774	0.00580569050177449	0.00123177738045754
131	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	prev3_surprisal	1	0.0356400646978985	0.0168252109214668	0.00015682404820172
132	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	prev3_surprisal	2	0.0445825237124104	0.0168408557042552	0.000761928538231871
